iter	Logloss
0	0.6752296316
1	0.6598442858
2	0.6438868017
3	0.6259954939
4	0.611379253
5	0.5982123801
6	0.584935818
7	0.5725845284
8	0.5623022989
9	0.5531280554
10	0.5446183662
11	0.5363230411
12	0.5285955911
13	0.5212651296
14	0.5141642853
15	0.5069700337
16	0.5015532861
17	0.4941815969
18	0.4887790481
19	0.4831352429
20	0.478651476
21	0.4742476484
22	0.4702033064
23	0.4651331115
24	0.4622774724
25	0.4590271422
26	0.455654899
27	0.4523136161
28	0.4492738165
29	0.4461440985
30	0.4434880848
31	0.4404165946
32	0.4377252859
33	0.43470065
34	0.4329091388
35	0.4311788193
36	0.4287696886
37	0.4256385086
38	0.42351341
39	0.4215676796
40	0.4195863749
41	0.4176089629
42	0.4154862371
43	0.412887013
44	0.4111334243
45	0.4096558442
46	0.4079951408
47	0.4064395698
48	0.4049549818
49	0.4033220883
50	0.4020438749
51	0.400277297
52	0.3989749951
53	0.3981012234
54	0.3964140707
55	0.395348139
56	0.3937905612
57	0.392868145
58	0.3913470604
59	0.389917662
60	0.3890619925
61	0.3880642445
62	0.3868101622
63	0.3856157071
64	0.3846095682
65	0.3834712715
66	0.3825248196
67	0.3816046214
68	0.3807951904
69	0.3799920867
70	0.3792295773
71	0.3784712289
72	0.3778739572
73	0.376769829
74	0.3760045937
75	0.3745076204
76	0.3738723803
77	0.3732093956
78	0.3725001219
79	0.3716455925
80	0.3709470236
81	0.3701771664
82	0.3694577274
83	0.3689280606
84	0.3683526137
85	0.3676419364
86	0.3668171885
87	0.3661815602
88	0.3655811908
89	0.3647356215
90	0.3643927198
91	0.363861627
92	0.363278342
93	0.3623965479
94	0.3616600186
95	0.3611759333
96	0.3608171291
97	0.3600372835
98	0.3594805493
99	0.3583489923
100	0.358015398
101	0.3571471471
102	0.3564215782
103	0.3557992351
104	0.355199536
105	0.3548246762
106	0.354260448
107	0.3537699033
108	0.3534614327
109	0.3531044162
110	0.352493315
111	0.3511840703
112	0.3505327381
113	0.3500902004
114	0.3496823855
115	0.349111132
116	0.3486362107
117	0.3482688755
118	0.3478380559
119	0.3472381853
120	0.3466342185
121	0.3462148644
122	0.34572902
123	0.345545553
124	0.3454068447
125	0.345217645
126	0.344545366
127	0.3441218395
128	0.3438169474
129	0.3434441308
130	0.3431983528
131	0.3429602329
132	0.3427508663
133	0.3424301122
134	0.3421655422
135	0.3418548539
136	0.3415532562
137	0.3410483841
138	0.3406990339
139	0.3405321904
140	0.3400589771
141	0.3396187026
142	0.3393412083
143	0.3391124561
144	0.3386672231
145	0.3381864825
146	0.3380219989
147	0.3377129606
148	0.3369911964
149	0.3366014971
150	0.3363399226
151	0.3362721982
152	0.3360858584
153	0.3358082817
154	0.3355397284
155	0.3351297798
156	0.3347374237
157	0.3343254252
158	0.3340950674
159	0.3334896422
160	0.333224594
161	0.3330457355
162	0.3326714057
163	0.3323850382
164	0.3321901694
165	0.3318318336
166	0.3316140634
167	0.331381493
