,0
0,139.88047665536047
1,-80.27939672390589
2,-82.88210689955066
3,125.80234828080368
4,-36.962567384729304
5,260.2913557919035
6,-51.32033578995968
7,-2.267344255364189
8,35.9463118843096
9,-42.112967920077594
10,-84.62791624077704
11,-51.35073776825787
12,-54.7106264864816
13,10.187755790818693
14,-37.92768239924071
15,170.32181496295834
16,-84.96347358394533
17,-83.96351542592966
18,14.95968972907419
19,-72.23441416275098
20,14.95968972907419
21,37.88558540462546
22,-82.64054133953991
23,-48.24387912563957
24,45.00899593784073
25,13.418209016460573
26,-24.03490142818759
27,-83.40346071378158
28,-46.174361703338874
29,-28.554148468964506
30,-84.45459605700157
31,22.260405294771996
32,-28.558924562593777
33,-82.19189611423654
34,-12.67003204728206
35,-62.569496226598
36,-50.52757343550594
37,204.79431637349947
38,162.92688779090867
39,100.16058925411582
40,-20.910178425421382
41,-50.16875759362636
42,10.177505481003314
43,-44.050372850586726
44,-28.865620025447832
45,61.64118649743448
46,-52.25577721091425
47,-30.26057617163506
48,-27.46484146890222
49,-78.84827156748784
50,39.227815385407894
51,83.63639319794412
52,-80.22454471545441
53,-32.868163500349155
54,-71.77045692977687
55,13.755199878644508
56,54.01724865169836
57,32.08051426674919
58,-46.74435150992745
59,0.872231157646238
60,-87.93068729900872
61,-66.73135003517444
62,106.97157084354619
63,-80.02518728588228
64,1.659984317972505
65,-56.855255597491244
66,93.88135681131772
67,-60.40195816312553
68,-29.525604230977308
69,-10.68911890045208
70,57.85566171980931
71,-50.72508820686854
72,-55.79209006658325
73,91.81284433910108
74,-50.31569580929396
75,-67.63063533175826
76,181.1563856257329
77,-21.481716355679982
78,69.18658923246214
79,-38.349372804841146
80,-3.9689265576479413
81,41.87945546529594
82,-64.7058912223399
83,-45.08656132054666
84,-39.08595223422275
85,-85.61122178121468
86,110.9422443069631
87,101.89591082063599
88,-67.93308203893852
89,60.42868395825686
90,24.795431954967288
91,-17.30109041243896
92,-12.628772284856618
93,5.34335858867836
94,85.49616602214242
95,47.90782050982524
96,234.3023423666458
97,33.11931752765819
98,-54.348355571648554
99,-56.8143625900575
100,104.27700426910653
101,-31.943135304927054
102,-29.318080031991645
103,-68.92236601930274
104,-61.30359060316903
105,-76.01118114858706
106,-74.55552703214002
107,-86.75791843023968
108,-73.14445222306239
109,-52.937325125759344
110,96.29224957225038
111,-84.91839998181804
112,36.35543322186946
113,-45.64894242732201
114,28.27701928313862
115,36.14991875216277
116,-46.20432617045705
117,19.79648380042109
118,358.7598208317385
119,-83.16074195021137
120,231.56970317192423
121,202.0536531351158
122,-16.343577767877928
123,62.66350982672144
124,-18.15241258047011
125,-54.66890152550532
126,-71.45502449563156
127,22.09080787799542
128,31.539896161046723
129,0.134196136137443
130,-85.14494851075335
131,-60.97489221677883
132,204.70940632214842
133,-56.31464761197672
134,-4.283755644206895
135,-75.77242132171706
136,76.17412907825523
137,70.12311425425516
138,-3.4287775463088646
139,-59.418084938346155
140,-71.80227344406177
141,160.55434962008457
142,-74.41030903483819
143,181.2126722097081
144,-46.672150389925534
145,-69.05646421216184
146,26.79579599661368
147,4.107765954026054
148,-29.740034983306487
149,-12.357777574337343
150,-5.972198516577713
151,43.65787075292383
152,-15.552240117025843
153,187.50375671701823
154,-30.26057617163506
155,-80.01548590437147
156,10.625597632684867
157,-40.36490851831627
158,-53.952848930791035
159,-85.37984212494689
160,-23.25521965639772
161,0.6128829264400348
162,-85.6200795621185
163,112.2526802957917
164,57.67580666147848
165,-59.107534508481244
166,-78.81221225818489
167,-71.25401628853237
168,194.48183948096118
169,-73.70581681028891
170,231.15457129239775
171,100.4839168408499
172,75.11754274438458
173,19.142280051090708
174,-75.61566466445916
175,-82.77004871247333
176,-70.82231794637586
177,-64.33069601656254
178,-47.70507272226783
179,206.31396881226806
180,-73.50067756592424
181,1.3998825930574694
182,23.62305389299476
183,-13.036082119305586
184,110.8501800011373
185,-30.364917826773727
186,104.67267486757915
187,40.064218955006986
188,218.44867646616015
189,-5.5418723917541906
190,-31.678656491703716
191,-71.46808689791014
192,1.3264137515824732
193,74.90189994272912
194,61.279520807332624
195,6.820553176628393
196,1.8732501148044276
197,25.12691885302166
198,43.01741216000799
199,332.5110914983574
200,71.23959383720386
201,-4.408705671615141
202,126.94488365948392
203,187.92130096514995
204,-26.331571219125106
205,348.6273145261059
206,25.793021962470505
207,-50.63359569113522
208,-68.02502139985135
209,-78.05112133616123
210,-79.26224308563116
211,-53.25820862050381
212,-82.459306089609
213,109.63367682872408
214,33.41926168230208
