,0
0,139.8819860820892
1,-80.28005364205374
2,-82.88244404801367
3,125.80145276271051
4,-36.963302147795076
5,260.29115177254465
6,-51.32083435175252
7,-2.268817137162038
8,35.94800291728062
9,-42.11440000174969
10,-84.62852278275022
11,-51.35216148447522
12,-54.71130844923758
13,10.187147029749633
14,-37.92818790959927
15,170.3218196449661
16,-84.96150014987141
17,-83.96414399850926
18,14.95911615471575
19,-72.23242562233126
20,14.95911615471575
21,37.885363104502964
22,-82.63855337291977
23,-48.24200794140422
24,45.00807061831333
25,13.417547390417488
26,-24.03301219145313
27,-83.40391008240597
28,-46.174741286443584
29,-28.551248961460587
30,-84.45601166550523
31,22.25977334299417
32,-28.55987375488628
33,-82.192479407958
34,-12.668206945336003
35,-62.57021017654634
36,-50.528024473399896
37,204.79567109580037
38,162.9257461185546
39,100.15884856514211
40,-20.910721290809192
41,-50.169248630918545
42,10.176837900478446
43,-44.051098362505485
44,-28.864574098852874
45,61.642858086212094
46,-52.253837346914004
47,-30.25771328069291
48,-27.46556967711323
49,-78.84960442588252
50,39.2269154033339
51,83.63661556971809
52,-80.22503034500944
53,-32.86710809317723
54,-71.77110083686927
55,13.754497321139679
56,54.016302286283434
57,32.07984779163612
58,-46.745748848676236
59,0.8707633347674734
60,-87.93196293869514
61,-66.73269967344542
62,106.97310026080694
63,-80.02464103202792
64,1.6617953778323207
65,-56.85669776214081
66,93.87967626766563
67,-60.403363406814734
68,-29.523729711890702
69,-10.68967096866595
70,57.85729571309781
71,-50.72577913467549
72,-55.792607054680616
73,91.81202814804475
74,-50.314628159565146
75,-67.6319768803111
76,181.15445756212557
77,-21.482292543118497
78,69.18492076855763
79,-38.34746929293409
80,-3.9702133795598846
81,41.87783095970723
82,-64.70655003790483
83,-45.08792183148441
84,-39.087325421184296
85,-85.61171974972635
86,110.9411635603704
87,101.89501513300004
88,-67.93374584870975
89,60.42977450890677
90,24.79454080460767
91,-17.30166371854386
92,-12.630239531628366
93,5.3417869087168555
94,85.49534206986846
95,47.9070493239709
96,234.30219851174357
97,33.11865398096931
98,-54.348788648190116
99,-56.815523001322504
100,104.27595811865908
101,-31.94463882398167
102,-29.318568746890342
103,-68.9228007820691
104,-61.304064770146674
105,-76.00916933937276
106,-74.55592556394211
107,-86.75928695804416
108,-73.14511695790543
109,-52.937795442088344
110,96.29138884658897
111,-84.91908439270317
112,36.35448790869664
113,-45.64947382452071
114,28.275748370087467
115,36.14826395543389
116,-46.20575306927674
117,19.79582890816278
118,358.7584496863894
119,-83.16115816883348
120,231.5685511657255
121,202.05606131074967
122,-16.344094796701214
123,62.6627513347868
124,-18.15389982525582
125,-54.66697958384268
126,-71.45548422307144
127,22.089401625526865
128,31.541573167386556
129,0.13274431906562445
130,-85.14564717832592
131,-60.975408342436005
132,204.70815469260558
133,-56.31356588696243
134,-4.284525383937621
135,-75.77381499002244
136,76.17330850643746
137,70.12236432679316
138,-3.429391241891816
139,-59.41949390347146
140,-71.80031954223841
141,160.5534200415956
142,-74.41076050615406
143,181.2116724416262
144,-46.67267925319036
145,-69.05594316118656
146,26.794900223336658
147,4.107002117817189
148,-29.738234417357788
149,-12.35922921977781
150,-5.972837859916624
151,43.656228196260194
152,-15.55299888618913
153,187.50373269537258
154,-30.25771328069291
155,-80.01543034396289
156,10.624030291038178
157,-40.362999897283956
158,-53.95354434182688
159,-85.38049133625007
160,-23.255778566795207
161,0.6113993085973579
162,-85.62121528305676
163,112.25161628104678
164,57.67505947177227
165,-59.106785075108974
166,-78.81360083209795
167,-71.25440462079831
168,194.4807660131699
169,-73.70645321397647
170,231.15339426850556
171,100.48289143224241
172,75.11678128418227
173,19.141647779652228
174,-75.6161854907996
175,-82.77066725244326
176,-70.8229687467704
177,-64.32885274077834
178,-47.70577054263248
179,206.31388986156205
180,-73.50107482728572
181,1.399307962169344
182,23.62215344363416
183,-13.037511948719015
184,110.84932003706966
185,-30.36638978017037
